year,csd,boro,enrollment_csd,enrollment_boro,enrollment_nyc,classroom_csd,classroom_boro,classroom_nyc,support_csd,support_boro,support_nyc,leadership_csd,leadership_boro,leadership_nyc,ancillary_csd,ancillary_boro,ancillary_nyc,building_csd,building_boro,building_nyc,grand_total_csd,grand_total_boro,grand_total_nyc,weight
2004,7,Bronx,21027,221216,1086886,8755.124913486,8067.52734375,8089.321289063,1909.72282208,1592.045776367,1708.364379883,1621.013389037,1451.192138672,1360.32019043,1467.861171155,1362.495361328,1387.405883789,1072.747085265,900.7796630859,988.8999633789,16491.56670114,14972.38671875,15144.33496094,0.0950519
2004,8,Bronx,33889,221216,1086886,7571.78442145,8067.52734375,8089.321289063,1539.722161638,1592.045776367,1708.364379883,1346.794909735,1451.192138672,1360.32019043,1329.149396791,1362.495361328,1387.405883789,874.7060339905,900.7796630859,988.8999633789,14302.27624505,14972.38671875,15144.33496094,0.1531942
2004,9,Bronx,33820,221216,1086886,8364.265618265,8067.52734375,8089.321289063,1593.796258967,1592.045776367,1708.364379883,1421.862027047,1451.192138672,1360.32019043,1461.158831939,1362.495361328,1387.405883789,855.4017257874,900.7796630859,988.8999633789,15291.94530741,14972.38671875,15144.33496094,0.1528822
2004,10,Bronx,66585,221216,1086886,8041.314567969,8067.52734375,8089.321289063,1581.389707397,1592.045776367,1708.364379883,1481.625136561,1451.192138672,1360.32019043,1255.285353585,1362.495361328,1387.405883789,940.3516408884,900.7796630859,988.8999633789,14888.01469647,14972.38671875,15144.33496094,0.3009954
2004,11,Bronx,42325,221216,1086886,7521.564843107,8067.52734375,8089.321289063,1366.981536074,1592.045776367,1708.364379883,1157.524586824,1451.192138672,1360.32019043,1334.774826942,1362.495361328,1387.405883789,734.3729853569,900.7796630859,988.8999633789,13636.84977833,14972.38671875,15144.33496094,0.1913288
2004,12,Bronx,23570,221216,1086886,8795.557017929,8067.52734375,8089.321289063,1815.617592326,1592.045776367,1708.364379883,1933.250747981,1451.192138672,1360.32019043,1527.517721783,1362.495361328,1387.405883789,1036.994773965,900.7796630859,988.8999633789,16758.66124918,14972.38671875,15144.33496094,0.1065474
2004,13,Brooklyn,21526,332420,1086886,7941.728180763,7571.275390625,8089.321289063,1341.231777687,1420.543579102,1708.364379883,1329.166771455,1307.135131836,1360.32019043,1133.007873841,1192.703735352,1387.405883789,1326.982240747,995.5385131836,988.8999633789,14730.64721831,14069.32324219,15144.33496094,0.0647554
2004,14,Brooklyn,20645,332420,1086886,8341.12400733,7571.275390625,8089.321289063,1662.134488539,1420.543579102,1708.364379883,1566.55541856,1307.135131836,1360.32019043,1315.52698656,1192.703735352,1387.405883789,1217.612110039,995.5385131836,988.8999633789,15850.12458805,14069.32324219,15144.33496094,0.0621052
2004,15,Brooklyn,25674,332420,1086886,8104.588489361,7571.275390625,8089.321289063,1603.391042663,1420.543579102,1708.364379883,1230.274325897,1307.135131836,1360.32019043,1189.891502399,1192.703735352,1387.405883789,1184.735395118,995.5385131836,988.8999633789,14978.84631227,14069.32324219,15144.33496094,0.0772336
2004,16,Brooklyn,14837,332420,1086886,7535.127853288,7571.275390625,8089.321289063,1435.971525275,1420.543579102,1708.364379883,1213.667057682,1307.135131836,1360.32019043,1172.599865339,1192.703735352,1387.405883789,1162.417696775,995.5385131836,988.8999633789,14103.2355327,14069.32324219,15144.33496094,0.0446333
