year,csd,boro,grand_total_csd,grand_total_boro
2004,7,Bronx,16491.56670114,14972.38671875
2004,8,Bronx,14302.27624505,14972.38671875
2004,9,Bronx,15291.94530741,14972.38671875
2004,10,Bronx,14888.01469647,14972.38671875
2004,11,Bronx,13636.84977833,14972.38671875
2004,12,Bronx,16758.66124918,14972.38671875
2004,13,Brooklyn,14730.64721831,14069.32324219
2004,14,Brooklyn,15850.12458805,14069.32324219
2004,15,Brooklyn,14978.84631227,14069.32324219
2004,16,Brooklyn,14103.2355327,14069.32324219
2004,17,Brooklyn,14588.21080434,14069.32324219
2004,18,Brooklyn,13936.92264235,14069.32324219
2004,19,Brooklyn,14368.43887127,14069.32324219
2004,20,Brooklyn,13016.64855178,14069.32324219
2004,21,Brooklyn,13741.75062675,14069.32324219
2004,22,Brooklyn,12282.79591992,14069.32324219
2004,23,Brooklyn,15370.55968149,14069.32324219
2004,32,Brooklyn,15098.3645062,14069.32324219
2004,1,Manhattan,16717.15426171,14641.11816406
2004,2,Manhattan,13584.63764498,14641.11816406
2004,3,Manhattan,14845.34519341,14641.11816406
2004,4,Manhattan,15176.39962195,14641.11816406
2004,5,Manhattan,17112.84607312,14641.11816406
2004,6,Manhattan,14371.04164456,14641.11816406
2004,24,Queens,12786.60050263,13282.04785156
2004,25,Queens,13537.36959482,13282.04785156
2004,26,Queens,12152.11835789,13282.04785156
2004,27,Queens,14075.36227376,13282.04785156
2004,28,Queens,13182.48908373,13282.04785156
2004,29,Queens,13500.80149906,13282.04785156
2004,30,Queens,13599.20970575,13282.04785156
2004,31,Staten Island,13749.52982015,13749.53027344
2005,7,Bronx,17202.46700917,15874.72753906
2005,8,Bronx,15166.00436784,15874.72753906
2005,9,Bronx,16590.42418988,15874.72753906
2005,10,Bronx,15762.70995132,15874.72753906
2005,11,Bronx,14606.76177706,15874.72753906
2005,12,Bronx,17340.5735513,15874.72753906
2005,13,Brooklyn,15478.34925822,14849.41308594
2005,14,Brooklyn,16920.75086724,14849.41308594
2005,15,Brooklyn,15589.50072146,14849.41308594
2005,16,Brooklyn,15169.28886676,14849.41308594
2005,17,Brooklyn,15333.75641304,14849.41308594
2005,18,Brooklyn,14194.76879472,14849.41308594
2005,19,Brooklyn,15649.50917984,14849.41308594
2005,20,Brooklyn,13834.36749196,14849.41308594
2005,21,Brooklyn,14322.67747663,14849.41308594
2005,22,Brooklyn,13041.5628911,14849.41308594
2005,23,Brooklyn,16080.23713069,14849.41308594
2005,32,Brooklyn,15945.53456839,14849.41308594
2005,1,Manhattan,17441.49270092,15359.85253906
2005,2,Manhattan,14244.36107035,15359.85253906
2005,3,Manhattan,15253.63397264,15359.85253906
2005,4,Manhattan,15903.5470787,15359.85253906
2005,5,Manhattan,17356.78103127,15359.85253906
2005,6,Manhattan,15600.20114262,15359.85253906
2005,24,Queens,13493.74049156,13941.16210938
2005,25,Queens,14459.97805559,13941.16210938
2005,26,Queens,12825.85842328,13941.16210938
2005,27,Queens,14376.75566532,13941.16210938
2005,28,Queens,13730.03700402,13941.16210938
2005,29,Queens,14142.48726935,13941.16210938
2005,30,Queens,14537.10192264,13941.16210938
2005,31,Staten Island,14606.17325336,14606.17285156
2006,7,Bronx,18456.12676065,17001.75
2006,8,Bronx,16346.11616166,17001.75
2006,9,Bronx,17904.20011164,17001.75
2006,10,Bronx,16761.84692523,17001.75
2006,11,Bronx,15784.8511939,17001.75
2006,12,Bronx,18231.20809379,17001.75
2006,13,Brooklyn,16407.91991738,15995.13769531
2006,14,Brooklyn,17960.29819584,15995.13769531
2006,15,Brooklyn,16400.10107471,15995.13769531
2006,16,Brooklyn,16148.37248561,15995.13769531
2006,17,Brooklyn,17158.62933335,15995.13769531
2006,18,Brooklyn,15173.64874963,15995.13769531
2006,19,Brooklyn,16804.54102428,15995.13769531
2006,20,Brooklyn,14892.35553083,15995.13769531
2006,21,Brooklyn,15564.42798763,15995.13769531
2006,22,Brooklyn,14137.67576667,15995.13769531
2006,23,Brooklyn,17259.0311689,15995.13769531
2006,32,Brooklyn,17184.23694361,15995.13769531
2006,1,Manhattan,17990.85670371,16650.60546875
2006,2,Manhattan,15505.18152111,16650.60546875
2006,3,Manhattan,16320.69826563,16650.60546875
2006,4,Manhattan,17388.01493409,16650.60546875
2006,5,Manhattan,18623.40405635,16650.60546875
2006,6,Manhattan,17347.94811015,16650.60546875
2006,24,Queens,14743.12050318,15104.15917969
2006,25,Queens,15713.58703887,15104.15917969
2006,26,Queens,13800.34499694,15104.15917969
2006,27,Queens,15496.99773119,15104.15917969
2006,28,Queens,14753.76500484,15104.15917969
2006,29,Queens,15448.55925561,15104.15917969
2006,30,Queens,15785.36427572,15104.15917969
2006,31,Staten Island,15890.40443399,15890.40527344
2007,7,Bronx,19268.28168159,17740.85351563
2007,8,Bronx,16980.27132181,17740.85351563
2007,9,Bronx,18744.83251659,17740.85351563
2007,10,Bronx,17505.11011386,17740.85351563
2007,11,Bronx,16513.81473366,17740.85351563
2007,12,Bronx,18877.97005188,17740.85351563
2007,13,Brooklyn,16949.85809732,16729.21289063
2007,14,Brooklyn,18586.32812446,16729.21289063
2007,15,Brooklyn,17118.52940131,16729.21289063
2007,16,Brooklyn,17292.32576919,16729.21289063
2007,17,Brooklyn,17875.32779285,16729.21289063
2007,18,Brooklyn,16284.54365056,16729.21289063
2007,19,Brooklyn,17541.18497382,16729.21289063
2007,20,Brooklyn,15283.87122388,16729.21289063
2007,21,Brooklyn,16200.39491264,16729.21289063
2007,22,Brooklyn,15283.88047216,16729.21289063
2007,23,Brooklyn,17934.85978051,16729.21289063
2007,32,Brooklyn,17576.13763825,16729.21289063
